name,login,package,n_commits,package_author
Jeroen Ooms,login_2,s2,4,TRUE
Jeroen Ooms,login_2,sarsop,23,TRUE
Jeroen Ooms,login_2,secsse,1,FALSE
Jeroen Ooms,login_2,sf,17,TRUE
Jeroen Ooms,login_2,shiny.semantic,1,FALSE
Jeroen Ooms,login_2,skimr,1,FALSE
Jeroen Ooms,login_2,slickR,1,FALSE
Jeroen Ooms,login_2,sodium,124,TRUE
Jeroen Ooms,login_2,solvebio,1,FALSE
Jeroen Ooms,login_2,spelling,116,TRUE
Jeroen Ooms,login_2,spocc,1,FALSE
Jeroen Ooms,login_2,ssh,228,TRUE
Jeroen Ooms,login_2,stars,1,FALSE
Jeroen Ooms,login_2,stats19,2,FALSE
Jeroen Ooms,login_2,stplanr,1,FALSE
Jeroen Ooms,login_2,strawr,1,FALSE
Jeroen Ooms,login_2,stringi,1,FALSE
Jeroen Ooms,login_2,svglite,2,FALSE
Jeroen Ooms,login_2,sys,431,TRUE
Jeroen Ooms,login_2,systemfonts,19,TRUE
Jeroen Ooms,login_2,tacmagic,2,FALSE
Jeroen Ooms,login_2,taxize,1,FALSE
Jeroen Ooms,login_2,terra,3,FALSE
Jeroen Ooms,login_2,tesseract,242,TRUE
Jeroen Ooms,login_2,testthat,1,FALSE
Jeroen Ooms,login_2,texPreview,1,FALSE
Jeroen Ooms,login_2,textshaping,13,FALSE
Jeroen Ooms,login_2,tidymodels,2,FALSE
Jeroen Ooms,login_2,tidyverse,2,FALSE
Jeroen Ooms,login_2,tiledb,4,FALSE
Jeroen Ooms,login_2,tiler,1,FALSE
Jeroen Ooms,login_2,tinkr,1,TRUE
Jeroen Ooms,login_2,tokenizers,1,FALSE
Jeroen Ooms,login_2,tradestatistics,1,FALSE
Jeroen Ooms,login_2,treestartr,1,FALSE
Jeroen Ooms,login_2,udunits2,1,FALSE
Jeroen Ooms,login_2,units,1,FALSE
Jeroen Ooms,login_2,unix,84,TRUE
Jeroen Ooms,login_2,unrtf,44,TRUE
Jeroen Ooms,login_2,usethis,4,FALSE
Jeroen Ooms,login_2,vapour,5,TRUE
Jeroen Ooms,login_2,vcr,2,FALSE
Jeroen Ooms,login_2,vdiffr,1,FALSE
Jeroen Ooms,login_2,virtuoso,2,FALSE
Jeroen Ooms,login_2,visdat,1,FALSE
Jeroen Ooms,login_2,vroom,1,FALSE
Jeroen Ooms,login_2,wdman,1,FALSE
Jeroen Ooms,login_2,webmockr,2,FALSE
Jeroen Ooms,login_2,webp,67,TRUE
Jeroen Ooms,login_2,websocket,3,FALSE
Jeroen Ooms,login_2,webutils,55,TRUE
Jeroen Ooms,login_2,worcs,2,FALSE
Jeroen Ooms,login_2,worrms,1,FALSE
Jeroen Ooms,login_2,writexl,110,TRUE
Jeroen Ooms,login_2,xlsx,1,FALSE
Jeroen Ooms,login_2,xml2,71,TRUE
Jeroen Ooms,login_2,xslt,72,TRUE
Jeroen Ooms,login_2,zip,1,FALSE
Maelle Salmon,login_3,COINr,1,FALSE
Maelle Salmon,login_3,CoordinateCleaner,4,FALSE
Maelle Salmon,login_3,EML,48,TRUE
Maelle Salmon,login_3,MODIStsp,6,FALSE
Maelle Salmon,login_3,MtreeRing,1,FALSE
Maelle Salmon,login_3,Rraven,1,FALSE
Maelle Salmon,login_3,addinslist,1,FALSE
Maelle Salmon,login_3,allcontributors,2,FALSE
Maelle Salmon,login_3,antiword,1,FALSE
Maelle Salmon,login_3,ape,3,FALSE
Maelle Salmon,login_3,assertr,1,FALSE
Maelle Salmon,login_3,attachment,2,FALSE
Maelle Salmon,login_3,av,3,FALSE
Maelle Salmon,login_3,available,2,FALSE
Maelle Salmon,login_3,baRcodeR,1,FALSE
Maelle Salmon,login_3,badger,1,TRUE
Maelle Salmon,login_3,bib2df,3,TRUE
Maelle Salmon,login_3,bigrquery,1,FALSE
Maelle Salmon,login_3,biomartr,2,FALSE
Maelle Salmon,login_3,blogdown,3,TRUE
Maelle Salmon,login_3,bookdown,12,FALSE
Maelle Salmon,login_3,bslib,2,FALSE
Maelle Salmon,login_3,censo2017,2,FALSE
Maelle Salmon,login_3,checkmate,1,FALSE
Maelle Salmon,login_3,cld2,1,FALSE
Maelle Salmon,login_3,cld3,1,FALSE
Maelle Salmon,login_3,codemeta,77,TRUE
Maelle Salmon,login_3,codemetar,103,TRUE
Maelle Salmon,login_3,commonmark,1,FALSE
Maelle Salmon,login_3,complexNet,1,FALSE
Maelle Salmon,login_3,conditionz,2,FALSE
Maelle Salmon,login_3,cranlogs,41,FALSE
Maelle Salmon,login_3,credentials,1,FALSE
Maelle Salmon,login_3,crul,6,FALSE
Maelle Salmon,login_3,cylcop,3,FALSE
Maelle Salmon,login_3,cyphr,4,FALSE
Maelle Salmon,login_3,daiquiri,2,FALSE
Maelle Salmon,login_3,datasauRus,11,FALSE
Maelle Salmon,login_3,dataspice,1,TRUE
Maelle Salmon,login_3,dbplyr,1,FALSE
Maelle Salmon,login_3,desc,6,TRUE
Maelle Salmon,login_3,devtools,3,FALSE
Maelle Salmon,login_3,distill,11,FALSE
Maelle Salmon,login_3,dittodb,4,FALSE
Maelle Salmon,login_3,dm,88,TRUE
Maelle Salmon,login_3,downlit,12,FALSE
Maelle Salmon,login_3,dplyr,1,FALSE
Maelle Salmon,login_3,drake,1,FALSE
